train_params/lambda_sparsity,train/grad_norm,train_params/lambda_orient,train_params/lambda_opaque,train/loss_opaque,lr-Adam/geometry,step,train/max_step,train/loss_orient,epoch,train/loss_sparsity,lr-Adam/background,train_params/lambda_sds,train/loss_sds,train/min_step
1.0,63.848018646240234,32.96799850463867,0.0,0.20025454461574554,,116,980.0,0.03262372687458992,0,0.32151925563812256,,1.0,2038.28466796875,20.0
,,,,,0.01,117,,,,,0.001,,,
1.0,137.7679443359375,33.16600036621094,0.0,0.17134109139442444,,117,980.0,0.03097132407128811,0,0.2872764468193054,,1.0,9490.00390625,20.0
,,,,,0.01,118,,,,,0.001,,,
1.0,84.65340423583984,33.36399841308594,0.0,0.24913382530212402,,118,980.0,0.036007724702358246,0,0.4250854551792145,,1.0,3583.099609375,20.0
,,,,,0.01,119,,,,,0.001,,,
1.0,212.4990997314453,33.5620002746582,0.0,0.1708413064479828,,119,980.0,0.03780457749962807,0,0.3467249870300293,,1.0,22577.93359375,20.0
,,,,,0.01,120,,,,,0.001,,,
1.0,76.4291000366211,33.7599983215332,0.0,0.2199396938085556,,120,980.0,0.03751206025481224,0,0.3560338616371155,,1.0,2920.70361328125,20.0
,,,,,0.01,121,,,,,0.001,,,
1.0,185.8678741455078,33.95800018310547,0.0,0.19095270335674286,,121,980.0,0.04315951094031334,0,0.36705052852630615,,1.0,17273.43359375,20.0
,,,,,0.01,122,,,,,0.001,,,
1.0,259.1308288574219,34.15599822998047,0.0,0.23082858324050903,,122,980.0,0.04598693177103996,0,0.40725401043891907,,1.0,33574.390625,20.0
,,,,,0.01,123,,,,,0.001,,,
1.0,40.06105422973633,34.354000091552734,0.0,0.16323202848434448,,123,980.0,0.04274138808250427,0,0.27498602867126465,,1.0,802.4439697265625,20.0
,,,,,0.01,124,,,,,0.001,,,
1.0,217.15765380859375,34.551998138427734,0.0,0.12024854123592377,,124,980.0,0.04359862580895424,0,0.23542338609695435,,1.0,23578.7265625,20.0
,,,,,0.01,125,,,,,0.001,,,
1.0,152.8450164794922,34.75,0.0,0.17975717782974243,,125,980.0,0.04653623327612877,0,0.31102871894836426,,1.0,11680.7978515625,20.0
,,,,,0.01,126,,,,,0.001,,,
1.0,47.48546600341797,34.948001861572266,0.0,0.2086191326379776,,126,980.0,0.058545198291540146,0,0.3924066126346588,,1.0,1127.4346923828125,20.0
,,,,,0.01,127,,,,,0.001,,,
1.0,118.89512634277344,35.145999908447266,0.0,0.26607954502105713,,127,980.0,0.06134571507573128,0,0.5630241632461548,,1.0,7068.025390625,20.0
,,,,,0.01,128,,,,,0.001,,,
1.0,129.80987548828125,35.34400177001953,0.0,0.24579215049743652,,128,980.0,0.05005982518196106,0,0.42178162932395935,,1.0,8425.302734375,20.0
,,,,,0.01,129,,,,,0.001,,,
1.0,187.15769958496094,35.54199981689453,0.0,0.26283562183380127,,129,980.0,0.06157396733760834,0,0.4421710968017578,,1.0,17514.001953125,20.0
,,,,,0.01,130,,,,,0.001,,,
1.0,154.90188598632812,35.7400016784668,0.0,0.20609760284423828,,130,980.0,0.07043221592903137,0,0.4832415282726288,,1.0,11997.298828125,20.0
,,,,,0.01,131,,,,,0.001,,,
1.0,76.95507049560547,35.9379997253418,0.0,0.13386651873588562,,131,980.0,0.061319708824157715,0,0.29960983991622925,,1.0,2961.04150390625,20.0
,,,,,0.01,132,,,,,0.001,,,
1.0,262.59576416015625,36.13600158691406,0.0,0.17846623063087463,,132,980.0,0.05859311670064926,0,0.5043371915817261,,1.0,34478.265625,20.0
,,,,,0.01,133,,,,,0.001,,,
1.0,156.32667541503906,36.33399963378906,0.0,0.23992511630058289,,133,980.0,0.07988680154085159,0,0.5581984519958496,,1.0,12219.015625,20.0
,,,,,0.01,134,,,,,0.001,,,
